step,time,ground_x,ground_y,ground_th,est_x,est_y,est_th
161,0.2761051654815674,1.0101,0.13657,0.0,2.3802955530764205,2.18710900813265,-2.3638509560763796
162,0.2776057720184326,1.0101,0.13707,0.0,2.3785781902171426,2.1808762147420357,-2.359682296095781
163,0.2791163921356201,1.0101,0.13757,0.0,2.378796782515928,2.184394167734018,-2.3585054974175255
164,0.2807283401489258,1.0101,0.13807,0.0,2.3681289642883403,2.1795082721417027,-2.369229251209263
165,0.28265929222106934,1.0102,0.13858,0.0,2.3605133208030398,2.184073018576021,-2.356703634200675
166,0.2843208312988281,1.0102,0.13908,0.0,2.361830755744966,2.181142508647347,-2.3534167940301574
167,0.28584790229797363,1.0102,0.13958,0.0,2.3615878569076374,2.17492971687866,-2.3593007602542237
168,0.28737378120422363,1.0102,0.14008,0.0,2.3745104907201773,2.175906189158334,-2.3540531476523463
169,0.2888920307159424,1.0102,0.14058,0.0,2.370257008737558,2.170234631101516,-2.3529102846017818
170,0.2903907299041748,1.0102,0.14108,0.0,2.3595989718359323,2.176099016170234,-2.35642938006311
171,0.29191064834594727,1.0102,0.14158,0.0,2.3503376238479334,2.175405134415543,-2.3520661428518346
172,0.29410815238952637,1.0102,0.14208,0.0,2.3608368191493567,2.180799735692877,-2.3541901656951585
173,0.29649853706359863,1.0102,0.14258,0.0,2.3709759892753572,2.1799526276912147,-2.353536682142526
174,0.2988739013671875,1.0102,0.14308,0.0,2.3687152805347056,2.183807116117185,-2.358399263726952
175,0.30129384994506836,1.0102,0.14358,0.0,2.364345907164532,2.17874349511829,-2.3559952570578178
176,0.30374717712402344,1.0102,0.14408,0.0,2.3653589869523923,2.1777212717742374,-2.346284984132156
177,0.30611443519592285,1.0102,0.14458,0.0,2.347910298031305,2.173116892880743,-2.353866994858872
178,0.30852246284484863,1.0102,0.14508,0.0,2.3562435620663433,2.173719880551085,-2.357501178346546
179,0.31098484992980957,1.0102,0.14558,0.0,2.3569793974998086,2.170054449938072,-2.3662971047268853
180,0.3134140968322754,1.0102,0.14608,0.0,2.356290519720858,2.177115605417423,-2.362648916166356
181,0.3158600330352783,1.0102,0.14658,0.0,2.3554730807433932,2.1862680490539153,-2.362920062988749
182,0.3182559013366699,1.0102,0.14708,0.0,2.363895278328868,2.17831762805717,-2.361945385175251
183,0.320723295211792,1.0102,0.14758,0.0,2.365568036229636,2.1797018016729095,-2.3508624209109894
184,0.32325100898742676,1.0102,0.14808,0.0,2.380294966523626,2.1809948337604865,-2.358093410788542
185,0.32570958137512207,1.0102,0.14858,0.0,2.3862042281430584,2.18720987780807,-2.34849910949642
186,0.3280909061431885,1.0102,0.14908,0.0,2.3853680701034063,2.1872509730462806,-2.3491633923219672
187,0.33048105239868164,1.0102,0.14959,0.0,2.3777831205909976,2.186292992280501,-2.3627691991328956
188,0.332918643951416,1.0102,0.15009,0.0,2.375741138291907,2.192972662304266,-2.354435444602581
189,0.33591198921203613,1.0102,0.15059,0.0,2.360423775949915,2.1916097191078716,-2.362552924364314
190,0.33890366554260254,1.0102,0.15109,0.0,2.346922352875639,2.194720645833437,-2.3686011656104777
191,0.34187936782836914,1.0102,0.15159,0.0,2.3522433610154043,2.1967987860178786,-2.3581693484001214
192,0.3443112373352051,1.0102,0.15209,0.0,2.351932057919459,2.19843675142831,-2.3610822395761195
193,0.34611058235168457,1.0102,0.15259,0.0,2.358169500493784,2.197387464553328,-2.3509800244976717
194,0.3476564884185791,1.0102,0.15309,0.0,2.364837568546445,2.1909721152970234,-2.352483487756322
195,0.3491940498352051,1.0102,0.15359,0.0,2.353967009571344,2.182070061419012,-2.3520634652108274
196,0.3507070541381836,1.0102,0.15409,0.0,2.3536545009015826,2.174808471971959,-2.3550378166174544
197,0.35220813751220703,1.0102,0.15459,0.0,2.355332261682624,2.1790313829984798,-2.3462026251234955
198,0.3537161350250244,1.0102,0.15509,0.0,2.3505963450710627,2.176229984275928,-2.368317177466638
199,0.3552083969116211,1.0102,0.15559,0.0,2.360098507832487,2.172920896058764,-2.356122609596363
200,0.35714030265808105,1.0102,0.15609,0.0,2.358875674371472,2.1784713953187116,-2.3555933534488536
201,0.35889482498168945,1.0102,0.15659,0.0,2.3598229795375345,2.1784370189882187,-2.3534237930506205
202,0.36053991317749023,1.0102,0.15709,0.0,2.3651964779727446,2.1769843862660974,-2.3427870721671162
203,0.36231088638305664,1.0102,0.15759,0.0,2.368500539590868,2.1783373879623698,-2.3562105194258827
204,0.3645815849304199,1.0102,0.15809,0.0,2.368727391172946,2.1794945751986425,-2.365468473925552
205,0.3661525249481201,1.0102,0.15859,0.0,2.3739511534536533,2.1860012450203383,-2.3568586359519266
206,0.3676776885986328,1.0102,0.15909,0.0,2.369975744824232,2.1866570680521966,-2.353556286421615
207,0.36919093132019043,1.0102,0.15959,0.0,2.3724382589123563,2.1890684672840224,-2.3415403914161557
208,0.37073850631713867,1.0102,0.16009,0.0,2.367646215019314,2.1909382125528603,-2.3458700407546265
209,0.37226390838623047,1.0102,0.1606,0.0,2.3716847916572803,2.196218256140256,-2.3615677915789015
210,0.3737962245941162,1.0102,0.1611,0.0,2.3760797126320083,2.197367337081239,-2.3586914448639984
211,0.3754432201385498,1.0102,0.1616,0.0,2.3672700576907184,2.1967823177050714,-2.3505927561319404
212,0.37779831886291504,1.0102,0.1621,0.0,2.3659598439366407,2.200724448168045,-2.3524071311419
213,0.3793907165527344,1.0102,0.1626,0.0,2.371683410912736,2.2001976109178307,-2.341946585254531
214,0.38091588020324707,1.0102,0.1631,0.0,2.3653175593099074,2.198098674689709,-2.350166060999836
215,0.3824126720428467,1.0102,0.1636,0.0,2.3627305814198287,2.2072522113515194,-2.3567004265926044
216,0.38402247428894043,1.0102,0.1641,0.0,2.351016125995367,2.2026719327774553,-2.3533852807317364
217,0.38593292236328125,1.0102,0.1646,0.0,2.3439351584486254,2.2060968746089546,-2.3462181712788364
218,0.387606143951416,1.0102,0.1651,0.0,2.3407819206928884,2.204256572465112,-2.350494813541579
219,0.3891451358795166,1.0102,0.1656,0.0,2.347611717433437,2.2018515930776004,-2.3484954775008906
220,0.39066481590270996,1.0102,0.1661,0.0,2.346121402872348,2.204959095071392,-2.345120592964303
221,0.392162561416626,1.0102,0.1666,0.0,2.352433002648065,2.2066385143728047,-2.3433345443167477
222,0.3936758041381836,1.0102,0.1671,0.0,2.3570938846760203,2.213020987458269,-2.343993499658096
223,0.39518284797668457,1.0102,0.1676,0.0,2.352140431260512,2.2119609382620395,-2.3465997681836477
224,0.3966946601867676,1.0102,0.1681,0.0,2.3446263119597273,2.214011212099142,-2.3381506122441382
225,0.39818787574768066,1.0102,0.1686,0.0,2.3578949535615275,2.2108831991358597,-2.344902597974028
226,0.39969706535339355,1.0102,0.1691,0.0,2.356357366520439,2.213522810387437,-2.3462898646565415
227,0.4011871814727783,1.0102,0.1696,0.0,2.3573732979113844,2.2164222989825677,-2.3385107031264605
228,0.4026968479156494,1.0102,0.1701,0.0,2.352421620248062,2.2098538427153973,-2.3510450785595634
229,0.4041926860809326,1.0102,0.1706,0.0,2.351088883428712,2.213485972224103,-2.3439580519766747
230,0.4057326316833496,1.0102,0.1711,0.0,2.3511407081999174,2.213205455828204,-2.3382611652752803
231,0.4072709083557129,1.0102,0.17161,0.0,2.3414133234037435,2.211251624763143,-2.348049208293806
232,0.4087865352630615,1.0102,0.17211,0.0,2.341732249347981,2.2273620312287163,-2.3492343405501623
233,0.41028404235839844,1.0102,0.17261,0.0,2.341085864261243,2.242197756303772,-2.3429278630353285
234,0.4118170738220215,1.0102,0.17311,0.0,2.3522081925114158,2.2288263701745086,-2.3286500098298437
235,0.41333723068237305,1.0102,0.17361,0.0,2.363642909526961,2.232324220282304,-2.3407703648346354
236,0.41484761238098145,1.0102,0.17411,0.0,2.355806921534656,2.2467775531797747,-2.3471390563058323
237,0.4163382053375244,1.0102,0.17461,0.0,2.351731121916632,2.2460090328360307,-2.3408699956260657
238,0.4186100959777832,1.0102,0.17511,0.0,2.3532846741543914,2.238899653637424,-2.3399430234402994
239,0.42058444023132324,1.0102,0.17561,0.0,2.3434129541810504,2.2458938724545363,-2.345059323220813
240,0.4225618839263916,1.0102,0.17611,0.0,2.341388713365826,2.2456720354655,-2.341645014270622
241,0.4241185188293457,1.0102,0.17661,0.0,2.3475015975456675,2.2403827548375066,-2.361909376211368
242,0.42561960220336914,1.0102,0.17711,0.0,2.3454483861559536,2.2356717942885758,-2.359080533996109
243,0.4271507263183594,1.0102,0.17761,0.0,2.3479657636151363,2.223041671611284,-2.34588237407542
244,0.4286642074584961,1.0102,0.17811,0.0,2.3493939433684714,2.2179845894794252,-2.343220487782099
245,0.4301590919494629,1.0102,0.17861,0.0,2.351483457726939,2.223196055416191,-2.3499339371540455
246,0.4316697120666504,1.0102,0.17911,0.0,2.356422366081531,2.227627777874887,-2.3489958535829745
247,0.43316149711608887,1.0102,0.17961,0.0,2.3495847971831583,2.225517143894321,-2.359434219675293
248,0.4346640110015869,1.0102,0.18011,0.0,2.352171169932661,2.2163140989881107,-2.361904923870619
249,0.4361550807952881,1.0102,0.18061,0.0,2.3546972786796903,2.217116106181781,-2.3673439759554316
250,0.43798303604125977,1.0102,0.18111,0.0,2.3522062123721796,2.215146712744807,-2.3520876617853115
251,0.43984317779541016,1.0102,0.18161,0.0,2.3519422199441196,2.2138066238407657,-2.346562608876027
252,0.4414029121398926,1.0102,0.18211,0.0,2.357367193640135,2.223057596724092,-2.3320409686507104
253,0.44292163848876953,1.0102,0.18262,0.0,2.3517109294939806,2.2196881436179,-2.3382951958191738
254,0.4445664882659912,1.0102,0.18312,0.0,2.360869819027085,2.222430663690395,-2.350914995851976
255,0.44609570503234863,1.0102,0.18362,0.0,2.3688101847651692,2.2155973931819153,-2.3474489554619344
256,0.44759154319763184,1.0102,0.18412,0.0,2.3630744955930365,2.2177795010174,-2.347648110575677
257,0.4491124153137207,1.0102,0.18462,0.0,2.3554552648140206,2.212633975269304,-2.3493282922076837
258,0.45061326026916504,1.0102,0.18512,0.0,2.3669635176132853,2.2153709559700636,-2.3427151249518494
259,0.4521207809448242,1.0102,0.18562,0.0,2.3648489943800173,2.218560388284852,-2.3489372013748637
260,0.4536166191101074,1.0102,0.18612,0.0,2.3777192163249476,2.224586283118444,-2.3381996304951618
261,0.4551210403442383,1.0102,0.18662,0.0,2.3822542485892275,2.21531312166261,-2.3459994665036925
262,0.45660924911499023,1.0102,0.18712,0.0,2.379664126505333,2.2108819619658653,-2.3385451252147873
263,0.4581587314605713,1.0102,0.18762,0.0,2.3777100950602446,2.2080068078061847,-2.3475991376979937
264,0.45970726013183594,1.0102,0.18812,0.0,2.386579128675713,2.2020396351173064,-2.3372104899522137
265,0.4612112045288086,1.0102,0.18862,0.0,2.3800621841427883,2.2035598744287688,-2.3407931081102222
